"VehicleId,TSPCode,TSPVehicleId,VIN,WeightClass"
"2611,TTC,59880,1FTSS34L98DA70514,Car"
"2612,TTC,66551,N30585,NULL"
"2613,TTC,67546,5TENX22N57Z422796,Car"
"2614,TTC,67557,3TMKU4HN6BM028308,Car"
"2615,TTC,67855,5TBJU32146S461264,Car"
"2616,TTC,74044,500895,NULL"
"2617,TTC,74045,354711,NULL"
"2618,TTC,74432,B86812,NULL"
"2619,TTC,74434,3310,NULL"
"2620,TTC,74437,C54070,NULL"
"2621,TTC,74438,14472,NULL"
"2622,TTC,74439,B18663,NULL"
"2623,TTC,74441,715,NULL"
"2624,TTC,74443,2765,NULL"
"2625,TTC,74446,17386,NULL"
"2626,TTC,74447,C01062,NULL"
"2627,TTC,74448,C01063,NULL"
"2628,TTC,74449,B58446,NULL"
"2629,TTC,74450,C67065,NULL"
"2630,TTC,74451,2436,NULL"
"2631,TTC,74452,B27109,NULL"
"2632,TTC,74453,C28796,NULL"
"2633,TTC,74454,9008,NULL"
"2634,TTC,75084,JW6CCG1G3YL005728,Truck"
"2635,TTC,75095,1HTSDAAN3RH580617,Truck"
"2636,TTC,75096,JW6CCG1G6YL006467,Truck"
"2637,TTC,75097,JW6CCG1G3VL002131,Truck"
"2638,TTC,79628,B53024,NULL"
"2639,TTC,80245,1FUJA6CK25LN37453,Truck"
"2640,TTC,80247,1FUYDCYB6RP644761,Truck"
"2641,TTC,84810,1FDXW46P76EA34050,Truck"
"2642,TTC,84811,1FDWF36F9YEB33193,Truck"
"2643,TTC,84858,1FUYDECB6MP397155,Truck"
"2644,TTC,84859,1FDXR82A2LYA01050,NULL"
"2645,TTC,85363,3FRNF65E74V654439,Truck"
"2646,TTC,80252,1FUYDCYB7YDF50259,Truck"
"2647,TTC,83803,NULL,NULL"
"2648,TTC,83804,NULL,NULL"
"2649,TTC,84814,1FDXW46P76EC65238,Truck"
"2650,TTC,84815,3B6MF3669XM508749,Truck"
"2651,TTC,84823,1NPGLUEX36D637865,NULL"
"2652,TTC,84862,1FDYU82A2JVA42441,Truck"
"2653,TTC,80250,1FTXTECBXXHA32487,NULL"
"2654,TTC,80251,NULL,NULL"
"2655,TTC,80253,1FUYDDYB4YLB78374,Truck"
"2656,TTC,84813,3F6WJ78A88G353123,Truck"
"2657,TTC,84854,1XPHDU9X88D751932,Truck"
"2658,TTC,84857,1FTXR82A6NVA07022,Truck"
"2659,TTC,80246,1FUYDZYB1VP858179,Truck"
"2660,TTC,80248,1FUJA6CK75PU11355,Truck"
"2661,TTC,80254,1FUYDZYBXVP858178,Truck"
"2662,TTC,84817,1FTRX12W06KB12935,Car"
"2663,TTC,84818,1FTVX12536NA88179,Car"
"2664,TTC,84853,1HTTVAHT07J477196,Truck"
"2665,TTC,84860,1FTRF17W11NB05754,Car"
"2666,TTC,80249,1FUJA6CK45LU11398,Truck"
"2667,TTC,84821,1FTVX12576NA25117,Car"
"2668,TTC,84819,1GBJC34U02F211391,Car"
"2669,TTC,85360,1FDWX37F4XEE40975,Truck"
"2670,TTC,85362,1FDAF56FX1EC26610,Truck"
"2671,TTC,84816,1FTNF20L53EA70997,Car"
"2672,TTC,84861,1FDWF36F93EA20692,Truck"
